id,created_date,status,type,space_title,space_status,space_city,space_address,mate_company,note,response,assigned_by_email
77fff87b-1014-4faf-860d-65329012e467,2026-05-05,REQUESTED,PROMISING_BUILDING,Prime Office Space on Spring Street,FLAGGED,New York,149 Spring St,,"This looked like a beautiful building let's try to make an opportunity for this. ",,angelyn@tandem.space
0e558d6f-9b25-43f2-94f9-27b26d934cbe,2026-05-05,REQUESTED,PROMISING_BUILDING,,FLAGGED,New York,149 Wooster St,,"A lot of information seems to be lacking, including some photos. Let's try to make this searchable and create an opportunity. ",,angelyn@tandem.space
58885278-7986-422f-b7af-9af03e87103c,2026-05-05,REQUESTED,PROMISING_BUILDING,Vibrant Light-Filled SoHo Office Space,FLAGGED,New York,200 Lafayette St,,Verify the details for this building. It looks like a good space within a nice neighborhood. ,,angelyn@tandem.space
e9c41688-035f-4ebf-b348-101aa802bd18,2026-05-05,REQUESTED,PROMISING_BUILDING,Creative SoHo Office with Exposed Brick and Light,FLAGGED,New York,206 Spring St,,"Let's try to make an opportunity in here. Building looks like it is in a good location. Might have a lot of potential in here. ",,angelyn@tandem.space
4824840c-7eb6-461b-aba9-b2697ef1e4ba,2026-05-05,REQUESTED,PROMISING_BUILDING,Bright Artistic Office Space in SoHo,FLAGGED,New York,230 Grand St,,"Looked like it is a beautiful building in a nice location, let's try to make an opportunity in here and try to make this searchable as well. ",,angelyn@tandem.space
0ef425c0-7895-4db8-b4b4-64b029f90a0b,2026-05-05,REQUESTED,PROMISING_BUILDING,,FLAGGED,New York,386 Park Ave S,,"Turns out we didnt have any pictures of our own despite it looking like a beautiful location and building. Let's try to make it searchable as well. ",,angelyn@tandem.space
1a176909-8dcb-4d0d-be16-f4dfcd458d3f,2026-05-05,ENGAGED,PROMISING_BUILDING,Bright Airy Office Space in Soho,FLAGGED,New York,435 Broome St,,"Mostly flagged due to data inaccuracy maybe we could create an opportunity here just straighten up the information. Building is in a nice location",,angelyn@tandem.space
bd0b1f85-a4c5-47ad-b24f-841dc845c945,2026-05-05,ENGAGED,PROMISING_BUILDING,Bright Creative SoHo Office Space,FLAGGED,New York,503 Broadway,,"Looks like a beautiful space, it just lacks some of the information lets try to see if we could create an opportunity ",,angelyn@tandem.space
fb1f77eb-f60d-4e12-90f5-2fd31e71ab6a,2026-04-27,ENGAGED,PROMISING_BUILDING,,FLAGGED,New York,1 State St,,Looks like a promising building in a good location. Lets try to get some more information on the space. ,,angelyn@tandem.space
3d40bb0e-5682-4dcd-b9a8-8ec471c26a05,2026-04-27,ENGAGED,PROMISING_BUILDING,Modern Open Office with Great Views in SoHo,FLAGGED,New York,524 Broadway,,Looks like a promising building in a good location. Lets try to get some more information on the space. ,,angelyn@tandem.space
ead58a58-1c58-4b38-9a34-840c5d8fac20,2026-04-27,ENGAGED,PROMISING_BUILDING,Bright Creative SoHo Office Space,PUBLISHED,New York,561 Broadway,,Looks like a promising building in a good location. Lets try to get some more information on the space. ,,angelyn@tandem.space
1a41fb36-22c8-42a0-890d-bb485e75cc65,2026-04-27,ENGAGED,PROMISING_BUILDING,,FLAGGED,New York,177 Prince St,,Looks like a promising building in a good location. Lets try to get some more information on the space. ,,angelyn@tandem.space
ef6009f6-22dd-45e2-8ce6-12249f52674b,2026-04-27,ENGAGED,PROMISING_BUILDING,,FLAGGED,New York,518 Broadway,,Looks like a promising building in a good location. Lets try to get some more information on the space. ,,angelyn@tandem.space
712544f9-2442-4dd7-9cce-d17b0fbe6a3d,2026-04-27,ENGAGED,PROMISING_BUILDING,,FLAGGED,New York,540 Broadway,,"Let's try to see if we could make an opportunity here, location of the building looks good. We might need some pictures of our own. ",,angelyn@tandem.space
833c5666-bf54-4010-8e62-c12c620d350b,2026-04-27,ENGAGED,PROMISING_BUILDING,,FLAGGED,New York,79 Elizabeth St,,Looks like a promising and a good location. Let's try to make an opportunity here and acquire photos of our own as well ,,angelyn@tandem.space
cdf63574-e053-4ce5-b01a-7b60dc4ce894,2026-04-22,ENGAGED,PROMISING_BUILDING,Bright Versatile Office Space in NoMad,PUBLISHED,New York,776 6th Ave,,Can we ask for pricing and better interior photos of the unit? This is good location.,,sophie@tandem.space
3d6c2fd6-10b9-4435-bbed-5bddd673682b,2026-04-20,ENGAGED,PROMISING_BUILDING,,FLAGGED,New York,128 Mott St,,"Location of the unit looks good however it does not have any interior photos and some of the other information that we needed. Let's try to see if we could get more information about this location and make it searchable as well. ",,angelyn@tandem.space
84c1ac02-28f0-437c-8668-ad683a370369,2026-04-20,ENGAGED,PROMISING_BUILDING,Bright Chic Office Space in SoHo,FLAGGED,New York,530 Broadway,,"This building is beautiful and from a good location however we do not have anything searchable here. Let's try to reach out and get this spaces searchable and get our own photos. ",,angelyn@tandem.space
e03f1311-1279-499d-b90d-fbf5167c0e6b,2026-01-21,ENGAGED,,Modern Fully Furnished FiDi Office Space,PUBLISHED,New York,1 Liberty St,,"This address has 40+ units under 15k SF that could be interesting for our clientele. It is a bit further south than most demand, but I think we'd still have some interest. The photos look nice and the building looks very nice. We don't have an opportunity yet for this building. Let's reach out to the brokers, try to build a relationship, and see if we can make anything public in this building. At the least, let's confirm the costar details. ","emailed for the 2nd time to get info)
-asked again (3rd time) 4/21/26",sophie@tandem.space
e76d2063-cfc6-4efe-9e02-be79b0cfa6bd,2026-01-06,ENGAGED,,Airy Modern Office with Natural Light in Midtown East,PUBLISHED,New York,155 E 44th St,,"Nice unit, but likely lower priority location. Let's try to get this sublease searchable ",not a high prio area,sophie@tandem.space
